"Menor 1 ano","1 a 4 anos","5 a 14 anos","60 anos e mais","15 a 59 anos"
3214266.29235764,13070214.7076424,34376485,18170157,122701316
3214266.29235764,13070214.7076424,34376485,18170157,122701316
3214266.29235764,13070214.7076424,34376485,18170157,122701316
3214266.29235764,13070214.7076424,34376485,18170157,122701316
3214266.29235764,13070214.7076424,34376485,18170157,122701316
3214266.29235764,13070214.7076424,34376485,18170157,122701316
3214266.29235764,13070214.7076424,34376485,18170157,122701316
3214266.29235764,13070214.7076424,34376485,18170157,122701316
3214266.29235764,13070214.7076424,34376485,18170157,122701316
3214266.29235764,13070214.7076424,34376485,18170157,122701316
3214266.29235764,13070214.7076424,34376485,18170157,122701316
3214266.29235764,13070214.7076424,34376485,18170157,122701316
3167948.39359065,12881871.6064094,34268758,18864947,124360444
3167948.39359065,12881871.6064094,34268758,18864947,124360444
3167948.39359065,12881871.6064094,34268758,18864947,124360444
3167948.39359065,12881871.6064094,34268758,18864947,124360444
3167948.39359065,12881871.6064094,34268758,18864947,124360444
3167948.39359065,12881871.6064094,34268758,18864947,124360444
3167948.39359065,12881871.6064094,34268758,18864947,124360444
3167948.39359065,12881871.6064094,34268758,18864947,124360444
3167948.39359065,12881871.6064094,34268758,18864947,124360444
3167948.39359065,12881871.6064094,34268758,18864947,124360444
3167948.39359065,12881871.6064094,34268758,18864947,124360444
3167948.39359065,12881871.6064094,34268758,18864947,124360444
3121985.38797584,12694971.6120242,34117164,19601854,125961822
3121985.38797584,12694971.6120242,34117164,19601854,125961822
3121985.38797584,12694971.6120242,34117164,19601854,125961822
3121985.38797584,12694971.6120242,34117164,19601854,125961822
3121985.38797584,12694971.6120242,34117164,19601854,125961822
3121985.38797584,12694971.6120242,34117164,19601854,125961822
3121985.38797584,12694971.6120242,34117164,19601854,125961822
3121985.38797584,12694971.6120242,34117164,19601854,125961822
3121985.38797584,12694971.6120242,34117164,19601854,125961822
3121985.38797584,12694971.6120242,34117164,19601854,125961822
3121985.38797584,12694971.6120242,34117164,19601854,125961822
3121985.38797584,12694971.6120242,34117164,19601854,125961822
3076754.86761561,12511050.1323844,33920142,20382709,127506362
3076754.86761561,12511050.1323844,33920142,20382709,127506362
3076754.86761561,12511050.1323844,33920142,20382709,127506362
3076754.86761561,12511050.1323844,33920142,20382709,127506362
3076754.86761561,12511050.1323844,33920142,20382709,127506362
3076754.86761561,12511050.1323844,33920142,20382709,127506362
3076754.86761561,12511050.1323844,33920142,20382709,127506362
3076754.86761561,12511050.1323844,33920142,20382709,127506362
3076754.86761561,12511050.1323844,33920142,20382709,127506362
